Timestamp,In which country do you engage in your primary professional activity?,Is English your first language?,"What type of institution are you affiliated with? Please choose the closest option from the list and, if you work at more than one, please choose the option that describes your primary affiliation or where most of your work gets done.",What is your primary field of research or practice? Please choose the one that best describes your research or practice.,"How long have you been involved in research, practice, or creative activity?",Are you a member of a GCCR committee (this includes members of the Leadership Team)?,How do you participate in the GCCR?,What is your main source of GCCR information and activities?,The primary people I interact with (not on a project) are,The primary people I collaborate with (on a project other than GCCR-wide papers) are,What have you found to be the single best way to form or join a NEW collaboration on Slack via the GCCR?,"If you are experiencing barriers to participation in the GCCR, which of the following apply?","If you have observed others experiencing barriers to participation in the GCCR, which of the following apply?","Please share any additional comments on diversity, equity, and/or inclusivity/inclusion in the GCCR."
2/15/2022 8:26,United States,Yes,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,I am not experiencing barriers to participation.,Language,
2/15/2022 9:00,Uruguay,No,Academic Institution,Clinical,10-14 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Direct contact via messaging,Language,Time to participate,
2/15/2022 9:57,Ireland ,Yes,Medical/Clinical,Clinical,0-4 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Webpage,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,Time to participate,I have not observed others experiencing barriers to participation.,
2/15/2022 10:48,Germany,Yes,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",10-14 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter), Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Newsletter,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,I am not experiencing barriers to participation.,"Language, Gender, Age, Time zone differences",
2/15/2022 12:58,New Zealand,Yes,Self-employed or freelance,"Creative Activity (e.g., writing, art or cooking)",15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Direct contact via messaging,"I am not experiencing barriers to participation., Time to participate",I have not observed others experiencing barriers to participation.,
2/15/2022 13:40,Israel,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Direct contact via messaging,Time to participate,"A barrier not listed (if wished, you can provide the barrier in the comments at the end)",
2/15/2022 13:42,Denmark,No,Academic Institution,Clinical,0-4 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"A barrier not listed (if wished, you can provide the barrier in the comments at the end)","A barrier not listed (if wished, you can provide the barrier in the comments at the end)",
2/15/2022 14:22,República Argentina ,No,Academic Institution,Clinical,15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Contributing to GCCR-wide papers,Time zone differences,Language,It is a positive experience of integration with colleagues and professionals from other disciplines in a shared and multicentric project.
2/15/2022 14:42,UK,Yes,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,I am not experiencing barriers to participation.,Time zone differences,
2/15/2022 14:42,Austria,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",10-14 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Meeting on a project idea page,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/16/2022 1:29,Libya,Bilingual or multilingual from birth/early childhood,Academic Institution,Clinical,5-9 years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I knew about before becoming a GCCR member (but did not talk to).,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,"A barrier not listed (if wished, you can provide the barrier in the comments at the end)",I have not observed others experiencing barriers to participation.,I wish there were more available projects/research collaboration opportunities involving North Africa/middle east that I can contribute to as an oral health specialist.
2/16/2022 2:13,Italy ,No,Medical/Clinical,Clinical,0-4 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Meeting on a project idea page,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/16/2022 9:12,Turkey,No,Academic Institution,Innovation and/or Research and Development,5-9 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/16/2022 9:15,Turkey,No,Academic Institution,Innovation and/or Research and Development,15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Meeting on a project idea page,Time to participate,I have not observed others experiencing barriers to participation.,
2/16/2022 10:24,UK,Yes,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),15+ years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Social Media,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Contributing to GCCR-wide papers,I am not experiencing barriers to participation.,"A barrier not listed (if wished, you can provide the barrier in the comments at the end)",
2/16/2022 15:20,USA,Yes,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Newsletter,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,"Time to participate, A barrier not listed (if wished, you can provide the barrier in the comments at the end)","Language, Race, Gender, Age, Disability (mental and/or physical)",
2/17/2022 5:23,Germany,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",5-9 years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I knew about before becoming a GCCR member (but did not talk to).,people I knew about before becoming a GCCR member (but did not talk to).,Direct contact via messaging,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/17/2022 9:20,Canada,Bilingual or multilingual from birth/early childhood,Self-employed or freelance,Innovation and/or Research and Development,10-14 years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Social Media,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"Disability (mental and/or physical), Time to participate","Language, Time zone differences",
2/17/2022 12:06,Turkey,No,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),0-4 years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/18/2022 14:53,USA,Yes,"Non-Academic Institution (e.g., not degree granting) or Research Institution",Social and Perceptual Sciences (including human behavior and culture),15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I knew about before becoming a GCCR member (but did not talk to).,Direct contact via messaging,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/19/2022 3:19,Swiss,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",10-14 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"Time to participate, Time zone differences",Time zone differences,
2/19/2022 16:17,Brazil,No,Academic Institution,Clinical,15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter), Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Direct contact via messaging,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/20/2022 11:28,Italy,No,Academic Institution,Clinical,15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Meeting on a project idea page,Time zone differences,Time to participate,
2/22/2022 8:35,US,Yes,Self-employed or freelance,"Creative Activity (e.g., writing, art or cooking)",10-14 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Direct contact via messaging,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
2/22/2022 13:57,Congo (DRC),No,Academic Institution,Clinical,10-14 years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"Language, A barrier not listed (if wished, you can provide the barrier in the comments at the end)","Language, Time to participate, A barrier not listed (if wished, you can provide the barrier in the comments at the end)",
2/22/2022 15:44,USA,Yes,Academic Institution,Clinical,15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,none
2/22/2022 17:03,france,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",10-14 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"I am not experiencing barriers to participation., Time to participate",I have not observed others experiencing barriers to participation.,
2/27/2022 4:23,Democratic Republic of the Congo,No,Academic Institution,Clinical,10-14 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Contributing to GCCR-wide papers,Language,Time to participate,
2/27/2022 4:29,Democratic Republic of the Congo,No,Academic Institution,Clinical,10-14 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Contributing to GCCR-wide papers,Language,Time to participate,not being a co-author in the publications does not encourage active participation because the different activities take time
